date;Op;Hi;Lo;Vo;OT
2015-06-30 00:00:00;257036011;267867004;255945999;44533800;263071991
2015-07-01 00:00:00;263345001;265171997;255774002;27029800;258621002
2015-07-02 00:00:00;258552002;261631012;254115997;21551900;255412003
2015-07-03 00:00:00;255459000;257076996;253505005;19033800;256335999
2015-07-04 00:00:00;256490997;261457001;254199997;15620400;260885986
2015-07-05 00:00:00;260804993;274506012;258700989;44156100;271912994
2015-07-06 00:00:00;271108002;277421997;267600006;49154800;269029999
2015-07-07 00:00:00;269963013;271341003;264832001;28857600;266207001
2015-07-08 00:00:00;265981995;272971008;264385986;36980200;270785004
2015-07-09 00:00:00;270826996;272334991;267085999;40301200;269227997
2015-07-10 00:00:00;269156006;294591003;268802002;100390000;284894012
2015-07-11 00:00:00;284880005;298506012;283529999;41109900;293114990
2015-07-12 00:00:00;293140015;314394012;292505005;56405000;310867004
2015-07-13 00:00:00;310826996;310947998;281010986;62053900;292053986
2015-07-14 00:00:00;292033997;296147003;286638000;28727200;287463989
2015-07-15 00:00:00;288045013;293247986;285367004;27486600;285829010
2015-07-16 00:00:00;286041992;291183014;275239990;49482600;278088989
2015-07-17 00:00:00;278091003;280279999;272042999;27591400;279471985
2015-07-18 00:00:00;279330994;282527008;274075012;25187100;274901001
2015-07-19 00:00:00;274766998;275670013;272513000;15332500;273614014
2015-07-20 00:00:00;273498993;278980988;272959991;22711400;278980988
2015-07-21 00:00:00;278881989;280546997;275419006;22930700;275833008
2015-07-22 00:00:00;275657013;277665985;274381012;19389800;277221985
2015-07-23 00:00:00;277341003;278110992;275716003;18531300;276049011
2015-07-24 00:00:00;276005005;289252991;275253998;37199400;288278015
2015-07-25 00:00:00;288164001;290733002;286002014;20662200;288696991
2015-07-26 00:00:00;288640015;293052002;287705994;16032300;292686005
2015-07-27 00:00:00;292639008;297773987;287450012;30592000;293623993
2015-07-28 00:00:00;293632996;296648987;293423004;25453600;294427002
2015-07-29 00:00:00;294484009;294536011;288777008;24672600;289589996
2015-07-30 00:00:00;289102997;290126007;286567993;21635800;287721985
2015-07-31 00:00:00;287696014;288959015;282343994;23629100;284649994
2015-08-01 00:00:00;284686005;284932007;278112000;18995000;281601013
2015-08-02 00:00:00;280449005;283032013;277528992;17722200;282614014
2015-08-03 00:00:00;282806000;285471008;280233002;21474100;281226990
2015-08-04 00:00:00;281225006;285714996;281225006;21908700;285217987
2015-08-05 00:00:00;284846985;285501007;281488007;20128000;281881989
2015-08-06 00:00:00;281906006;281906006;278403015;18792100;278576996
2015-08-07 00:00:00;278740997;280391998;276365997;42484800;279584991
